roi_i,roi_j,label_i,label_j,network_i,network_j,same_network,fc_fisherz
1,19,7Networks_LH_Vis_2,7Networks_LH_SomMot_6,Vis,SomMot,0,0.16074867803597065
1,20,7Networks_LH_Vis_2,7Networks_LH_SomMot_7,Vis,SomMot,0,0.5777452836184034
1,21,7Networks_LH_Vis_2,7Networks_LH_SomMot_8,Vis,SomMot,0,0.2252073268798954
1,22,7Networks_LH_Vis_2,7Networks_LH_SomMot_9,Vis,SomMot,0,0.3472113842327661
1,23,7Networks_LH_Vis_2,7Networks_LH_SomMot_10,Vis,SomMot,0,0.43164269173732084
1,24,7Networks_LH_Vis_2,7Networks_LH_SomMot_11,Vis,SomMot,0,0.11059201333803878
1,25,7Networks_LH_Vis_2,7Networks_LH_SomMot_12,Vis,SomMot,0,0.16268991638808766
1,26,7Networks_LH_Vis_2,7Networks_LH_SomMot_13,Vis,SomMot,0,0.16900516444530625
1,27,7Networks_LH_Vis_2,7Networks_LH_SomMot_14,Vis,SomMot,0,0.14167103159903466
1,28,7Networks_LH_Vis_2,7Networks_LH_SomMot_15,Vis,SomMot,0,0.4080732528466859
1,29,7Networks_LH_Vis_2,7Networks_LH_SomMot_16,Vis,SomMot,0,0.1982414653041698
1,30,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_1,Vis,DorsAttn,0,0.8897123731758756
1,31,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_2,Vis,DorsAttn,0,0.43556456171863245
1,32,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_3,Vis,DorsAttn,0,0.6263421230272297
1,33,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_4,Vis,DorsAttn,0,0.2857990593092365
1,34,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_5,Vis,DorsAttn,0,0.09117464399321272
1,35,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_6,Vis,DorsAttn,0,0.24668751372032904
1,36,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_7,Vis,DorsAttn,0,0.6265911025402529
1,37,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_8,Vis,DorsAttn,0,0.7014424329354052
1,38,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_9,Vis,DorsAttn,0,0.13530415832363374
1,39,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_Post_10,Vis,DorsAttn,0,0.2410413958187277
1,40,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_FEF_1,Vis,DorsAttn,0,0.3304762410691645
1,41,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_FEF_2,Vis,DorsAttn,0,0.04621128307204212
1,42,7Networks_LH_Vis_2,7Networks_LH_DorsAttn_PrCv_1,Vis,DorsAttn,0,0.316221908095878
1,43,7Networks_LH_Vis_2,7Networks_LH_SalVentAttn_ParOper_1,Vis,SalVentAttn,0,0.2854249111853119
1,44,7Networks_LH_Vis_2,7Networks_LH_SalVentAttn_ParOper_2,Vis,SalVentAttn,0,0.19448751702389033
1,45,7Networks_LH_Vis_2,7Networks_LH_SalVentAttn_ParOper_3,Vis,SalVentAttn,0,0.010210797459318396
1,46,7Networks_LH_Vis_2,7Networks_LH_SalVentAttn_FrOperIns_1,Vis,SalVentAttn,0,0.06750444773376386
1,47,7Networks_LH_Vis_2,7Networks_LH_SalVentAttn_FrOperIns_2,Vis,SalVentAttn,0,0.03916687527651478
1,48,7Networks_LH_Vis_2,7Networks_LH_SalVentAttn_FrOperIns_3,Vis,SalVentAttn,0,-0.016599126482282355
1,49,7Networks_LH_Vis_2,7Networks_LH_SalVentAttn_FrOperIns_4,Vis,SalVentAttn,0,0.15596169733230475
